Comment,Designator,Footprint,LCSC
SM420561N,D1,Display_7Segment:7SegmentLED_LTS6760_LTS6780,C141367
LED_RGB,D2,LED_SMD:LED_RGB_5050-6,C784540
Conn_01x15_Female,"J1,J2",Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,C124408
330,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17930
1k,"R12,R13,R14",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
SW_Push,"SW1,SW2,SW3",Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C136669
MCP9700AT-ETT,U1,Package_TO_SOT_SMD:SOT-23,C127949
